product_category,problem,repair_status,brand,model,year_of_manufacture
pc accessory,change cabel,fixed,Apple,Mac charger,????
misc,short circuited,fixed,Kenwood,Unknown,????
hi fi separates,does not start,fixed,Packernell,Unknown,????
laptop,slow software problem,fixed,Packernell,Unknown,????
toaster,does not work,fixed,Unknown,Unknown,????
small kitchen item,broken plastic part inside,repairable,Philips,Unknown,????
hi fi separates,bad on off connection,fixed,Altec Lansing,Unknown,????
handheld entertainment device,dead,end of life,PlayStation,Unknown,????
laptop,does not connect to the internet,repairable,Unknown,Unknown,????
musical instrument,faulty output,fixed,Unknown,Unknown,????
portable radio,faulty output,end of life,Unknown,Unknown,????
laptop,spilled water on it,end of life,Apple,Macbook air ,2009
lamp,change socket,fixed,Unknown,Unknown,????
handheld entertainment device,broken mechanics,fixed,Nintendo,Unknown,????
misc,faulty output,fixed,Pump for jumping castle,Unknown,????
headphones,need new jack,fixed,Beyerdynamic,Unknown,????
toaster,handle does not stay down,fixed,Unknown,Unknown,????
misc,charger connect two charger to make one work,fixed,Unknown,Unknown,????
handheld entertainment device,does not read the cd,end of life,Sony,Discman,????
hi fi separates,cd does not come out,fixed,Pioneer,Unknown,????
small kitchen item,blender smells burnt when used,end of life,Logik,Unknown,????
misc,heating carpet wont turn on,end of life,Heating carpet,Unknown,????
small kitchen item,handmixer short circuit,end of life,Unknown,Unknown,????
mobile,flickering screen,fixed,Apple,iPhone,????
hi fi separates,bad connection to aux,end of life,Apple,Unknown,????
portable radio,dead,repairable,Unknown,Unknown,????
small kitchen item,dead,repairable,Unknown,Unknown,????
lamp,does not work,repairable,Unknown,Unknown,????
kettle,short circuit,repairable,Unknown,Unknown,????
mobile,order screen,fixed,Samsung ,Galaxy S8,2017
hi fi separates,broken output,fixed,Logitech,Unknown,????
laptop,output input sound broken,repairable,Apple,Unknown,????
hi fi separates,does not read cd,fixed,Unknown,Unknown,????
mobile,broken screen replaced with new lcd,fixed,Apple,iPhone 6,2014
laptop,bad battery,fixed,Apple,Macbook Air 13,????
mobile,cracked screen under warranty sent to apple store,repairable,Apple,iPhone 7s Plus,2016
mobile,cracked screen new lcd,fixed,Apple,iPhone 7,2016
laptop,cracked screen contacted microsoft and it is impossible to repair screen no parts all glue vendor recommended replacement,end of life,Microsoft,Surface Pro 5,????
mobile,home button not working vibration not working replaced both components,fixed,Apple,iPhone 7,2016
mobile,student purchased new phone before repair could be completed,end of life,Apple,iPhone 5 SE,2013
mobile,parts too expensive referred to professional,repairable,Samsung ,Galaxy S7 Edge,2016
mobile,cracked lcd,fixed,Apple,iPhone 6s,2015
laptop,battery hard drive failure replaced both,fixed,Apple,Macbook Pro mid 2012,2012
laptop,new battery,fixed,Apple,Macbook Pro mid 2012,2012
mobile,repair too challenging due to waterproof seal didn t have adhesive remover to open phone referred to apple,repairable,Apple,iPhone 7s Plus,2016
mobile,replaced cracked lcd,fixed,Apple,iPhone 6s,2015
mobile,replaced cracked lcd home button,fixed,Apple,iPhone SE,2016
mobile,water damage throughout repair not possible,end of life,Apple,iPhone 6,2014
mobile,referred to apple store screen too difficult to open without adhesive remover or heat gun,repairable,Apple,iPhone 7 Plus,2016
laptop,battery replaced,fixed,Apple,"Macbook Air 13""",????
mobile,part not in stock unable to repair sent student to apple,repairable,Apple,iPhone 8 Plus,2017
mobile,replaced cracked lcd and microphone,fixed,Apple,iPhone 6s,2015
mobile,part too expensive device under warranty referred to apple,repairable,Apple,iPhone X,2017
mobile,intermittent volume issues referred to apple no identifiable hardware issue,repairable,Apple,iPhone 6s Plus,2015
mobile,cracked lcd replaced,fixed,Apple,iPhone SE,2016
digital compact camera,replaced battery,fixed,Flip,Mimo HD Camera,????
mobile,replaced lcd,fixed,Apple,iPhone 6s,2015
mobile,replaced battery,fixed,Apple,iPhone 6s,2015
laptop,touchbar not working too expensive for us to buy and repair too difficult referred student to apple,repairable,Apple,"Macbook Pro TouchBar 13""",2016
mobile,cracked lcd replaced home button replaced camera replaced,fixed,Apple,iPhone 6,2014
mobile,broken screen but part was t available,repairable,Apple,iPhone 6s,2015
mobile,software issue resolved with reset,fixed,Apple,iPhone 7,2016
mobile,replaced cracked screen and fixed boot loop,fixed,Apple,iPhone 7,2016
portable radio,clock radio broken button so operate with screwdriver,fixed,Sony,ICF-C1,????
hi fi integrated,cd player no sound cassette player only fixed,fixed,Hitachi,CW-W700,????
laptop,slow hot some improvements made but more to do,fixed,Medion,E3512,????
misc,reassembly after cleaning,fixed,Unknown,slow cooker,????
printer scanner,no function error message,repairable,Canon,MG550G,????
lamp,no function,end of life,Unknown,touch lamp DK-00201,????
laptop,start up problem needs new hd,repairable,Apple,MacBook Pro,????
tablet,does not start needs battery,repairable,Asus,Unknown,????
laptop,does not start power supply voltage low,repairable,Dell,Unknown,????
pc accessory,broken keys,end of life,Unknown,keyboards,????
kettle,goes on but no heat,end of life,Dualit,Unknown,????
hi fi separates,plug replacement need circuit diagram,repairable,Unknown,tape recorder power supply,????
portable radio,pocket dab radio speaker not functioning after freezing,end of life,Goodman,GDPRDAB,????
portable radio,speaker not functioning after freezing,end of life,DAB,pocket radio GDPRDAB,????
hi fi separates,needs spare band part identified,repairable,Unknown,record player,????
misc,no function,end of life,Panasonic,video recorder,????
pc accessory,broken button resoldered,fixed,Logitech,Performance Max mouse,????
printer scanner,ink install problem,fixed,HP ,Photosmart C4585,????
small kitchen item,no function thought to be motor,end of life,Tesco,handmixer,????
headphones,loose part,fixed,Philips,Unknown,????
musical instrument,broken button sound problems flimsy electronics,end of life,Unknown,SK-3226,????
hair beauty item,light on no heat broken element,end of life,Remington,hair curler,????
misc,no function plugging in wrong appliance,fixed,Toyozumi Dengenkiki,Transformer KO-600,????
lamp,does not switch on control component failed but has 5 year warranty,repairable,Serious readers,Reading light,????
hi fi separates,jams,end of life,Sony,double cassette recorder,????
mobile,does not switch on,end of life,Apple,iPhone 5s,2013
digital compact camera,broken button,fixed,Canon,Power Shot 82500,????
digital compact camera,no lens,repairable,Nikon,Coolpix,????
tablet,install replacement battery,fixed,Apple,iPad first generation,2010
pc accessory,wires touching where braided extended two together,fixed,Dell,speaker,????
power tool,switch put into cable,fixed,Unknown,Unknown,????
vacuum,power was low filter needs washing and needs replacement part,fixed,Unknown,Unknown,????
desktop computer,hd needed removing,fixed,HP,Unknown,????
toaster,element gone now reconnected,fixed,Unknown,Unknown,????
vacuum,element was gone less noisy now,fixed,Unknown,Unknown,????
tablet,won t turn on won t charge,end of life,Samsung,Unknown,????
kettle,burnt out,end of life,DeLonghi,Unknown,????
laptop,very slow needs parts,repairable,dell,Unknown,????
lamp,didn t turn on now working,fixed,Unknown,Unknown,????
small kitchen item,scale wasn t working,fixed,Unknown,Unknown,????
laptop,thermal paste successfully replace but still not working perfectly,fixed,Gateway,Unknown,????
misc,iron no power element broken,end of life,Lervia,Unknown,????
hair beauty item,hairdryer no power selector button broken set to medium,fixed,Revlon,097X,????
hair beauty item,vibrating cleaned,fixed,Unknown,JL1206-1,????
laptop,not switching on motherboard problem,end of life,Dell,PP17L,????
digital compact camera,leaked battery whole circuitboard needs replacing,repairable,Minolta,Unknown,????
digital compact camera,broken screen needs expert,repairable,Pentax,Unknown,????
misc,walkman plays wrong side belt was adjusted,fixed,Unknown,Unknown,????
misc,walkman not working advice given,repairable,Unknown,Unknown,????
tablet,help with functionaility,fixed,Samsung,Unknown,????
toaster,broken lever,fixed,Philips,Unknown,????
portable radio,plug cover broken,fixed,John Lewis,Unknown,????
small kitchen item,coffee percolator not heating element ok needs parts,repairable,Bulbitt & sons,coffee percolator,????
portable radio,resolder required,fixed,Roberts,R717,????
mobile,overloaded,fixed,Samsung,J56 smartphone,????
mobile,email lost found needed functionality help,fixed,Motorola ,Nexus,????
laptop,one key on keyboard without function reassigned,fixed,Samsung,NP300E5A,????
mobile,email links don t open,repairable,Nokia,B110,????
mobile,does not switch on battery dead,repairable,Nokia,N85,????
hi fi separates,fuse change,fixed,Denon,amp,????
misc,corroded contact,fixed,Pet L,Headtorch,????
misc,bike headlight,end of life,BLT,Unknown,????
handheld entertainment device,game console,end of life,Unknown,Unknown,????
misc,microphone,fixed,Unknown,Unknown,????
portable radio,psu broken needs replacing,repairable,Sony,DAB,????
toaster,trips rcs unidentifiable fault,end of life,Breville,Unknown,????
misc,iron sealed unit unfixable by design,end of life,Russell Hobbs,Unknown,????
lamp,switch broken part needed,repairable,Unknown,Unknown,????
misc,microphone secured in place,fixed,Laser stage light,Unknown,????
misc,steamer sealed unit not repairable,end of life,Unknown,Unknown,????
misc,kitchen mixer microswitch for detecting closed not working ok after moving,fixed,Unknown,Unknown,????
misc,corroded connectors and terminal components,end of life,Russell Hobbs ,Steam generating iron,????
misc,too big a job to fix here,repairable,Kenwood,Kitchen mixer,????
decorative or safety lights,disco light bulb loose in the holder,fixed,Unknown,Unknown,????
power tool,may be repairable with replacement parts,repairable,Ryobi,Belt sander,????
flat screen,referred to hackspace,repairable,Sanyo,TV,????
headphones,lead replacement plug,fixed,Unknown,Unknown,????
misc,sealed unit unfixable by design,end of life,Russell Hobbs,Iron,????
misc,sealed unit not repairable,end of life,Steamer,Unknown,????
misc,microswitch for detecting closed not working ok after moving,fixed,Kitchen Mixer,Unknown,????
decorative or safety lights,bulb loose in the holder,fixed,Disco light,Unknown,????
hi fi separates,one channel out was producing a buzzing sound the amp was opened up no components appeared burnt corroded or short circuited surprisingly none of the old electrolytic capacitors had burst either showing far better quality than typically seen these days a couple of slightly loose blade fuses were re seated the sound seemed to work fine thereafter it is unknown exactly what the problem was but the user was advised to give the rca sockets a clean to improve electrical contact with the greying metal,fixed,Sansui,AU-101 Solid State Stereo Amplifier,????
